"id","category_id","type","title","doing","learn","skill","skill_note","teacher","teacher_qualification","bring","charge","cost","book","note","start","end","link"
17,62,"introduction","special effects: how to make an exploding head","Ever wanted to learn some behind-the-scenes magic of special effects? Now's your chance, in an incredible SpecialFX/Film Challenge: reconstruct an exploding head; and change from man to monster!","Special Effects basics, performing a group challenge with variety of skills learned",1,"Easy, this lesson assumes no previous experience in special effects make-up","Nicole Heydenrijk","Nicole started her career as a special effects make-up artist in the Netherlands around 20 years ago. <br><br>Now Nicole works with her daughters at BodyFX in Wellington. <br><Br>She has a teacher's degree in Arts/Craft and is a special effects make-up artist, a specialist in foam latex applications and production, trauma, theatre make-up, body art and facepainting. <br><br>Nicole is the winner of numerous national and international make-up and body painting awards. <a href='http://www.bodyfx.co.nz/about/nicole/nicole.htm'>More about Nicole </a>","","cost","$33 (special chalkle intro price)","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
18,62,"introduction","special effects made easy: how to make horns and wounds","Ever wanted to learn some behind-the-scenes magic of special effects? Now is your chance: in this one hour lesson, you'll make horns, wounds and scars!","introduction on how to make horns, wounds and scars using GelFX",1,"No previous experience required. Beginners welcome!","Nicole Heydenrijk","Nicole started her career as a special effects make-up artist in the Netherlands around 20 years ago. <br><br>Now Nicole works with her daughters at BodyFX in Wellington. <br><Br>She has a teacher's degree in Arts/Craft and is a special effects make-up artist, a specialist in foam latex applications and production, trauma, theatre make-up, body art and facepainting. <br><br>Nicole is the winner of numerous national and international make-up and body painting awards. <a href='http://www.bodyfx.co.nz/about/nicole/nicole.htm'>More about Nicole </a>","","cost","$10","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
19,65,"master class","bid and tender management: what govt is looking for","The art of tender writing is extremely difficult -- especially when you don't know what the other party is looking for! Former insider James will shed some light on what the NZ government is looking for, and help strengthen your tender and bid writing methodology.","What the government is looking for in bids and tenders.",6,"This lesson will assume that you have had some experience in writing bids and/or tenders in the past.","James King","James King has over seven years' experience as a Policy and Statistical Analyst in New Zealand government agencies, including the Department of Internal Affairs (Office for the Community and Voluntary Sector).","","please select..","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
20,65,"test flight","entrepreneur 101","<b>en·tre·pre·neur</b><Br>A person who organizes, operates, and assumes the risk for a business venture.<br><Br>Ever thought about starting a business from scratch? Learn about entrepreneurship in this 90 minute intro!","You'll learn about the kinds of companies you ideally want to start; how to get started; ways to raise money; and how to avoid some of the pitfalls along the road to your exit strategy",1,"Beginners welcome!","Linc Gasking","Linc has been a serial entrepreneur for thirty years including retail, fashion, industrial, technology, entertainment and tourism.<br> A rollercoaster of successes and phenomenal failures allows him to share some advice.","","free","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","As this is a test flight, the lesson will be assisted in its ultimate design by the members who come along!","","",""
21,79,"tips + tricks","facilitation","This lesson will be a beginning, giving an overview of various tools and social technologies available. With possibilities of further courses delving deeper into specific topics","Basic tools and social technologies",2,NULL,"Silvia Zuur","Learn by doing. Silvia has learnt most of her facilitation skills by having fun and creating things with groups of people on adventures around the world.","","cost",5,"","","","",""
22,65,"tips   tricks","grants: how to get them","If you have ever been in a non-profit business or part of a community organization, then grants are probably something you've thought about!<br><Br>Grants are a specialty that few manage to master.","As a government representative, James was on the other end of grant applications. In this lesson, you'll get some tips and tricks on how to get grants for your organization!",3,"A basic knowledge of grants would be helpful.","James King","James King has over seven years' experience as a Policy and Statistical Analyst in New Zealand government agencies, including the Department of Internal Affairs (Office for the Community and Voluntary Sector).","","please select..","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
23,65,"test flight","investing in startups","We'll be looking at the basics of what to look for when investing in startup companies as an Angel Investor (and if you have a startup -- what an investor is looking for!)","The principles of angel investing.<br>What makes a great start-up, and what reduces the changes of failure<br>- Some of the techniques to protect your investment<br>-some ways to value a business, such as potential business models and discounted cashflow",3,"You should have basic business experience","Linc Gasking","Linc has been investing (and obtaining investment) in startups for fifteen years in the USA, Australia and New Zealand.","","free","","","As this is a test flight lesson, the eventual lesson will be based on the feedback of the attendees.","","",""
24,65,"introduction","p.r.","Learn PR... for non-PR people!","Tips and tricks on how to get attention for your project.",1,"Beginners welcome!","Ben Knight and Richard Bartlett","Ben and Rich are two of the Loomio founders, an open-source web application that helps groups make better decisions.","","please select..","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","This is a test flight, so please fasten your seat belt, make sure your seat backs and tray tables are in their full upright position!","","",""
25,77,"zero to hero","rollers tracks and wheels licence","Steamrollers, Bulldozers and Forklifts... three machines you may need to be able to drive in a Zombie Apocalypse. And this course is the first step in that process!","This is an officially recognized course which will allow you to get an RTW endorsement.",1,NULL,"Stephen Wickens","Stephen works at PassRite and is a qualified RTW instructor.","","cost","$330 - Chalkle discount!","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
26,65,"introduction","starting a start up","Receive a whirlwind introduction to starting a start-up, with a focus on making the right choice  of business. If you are going to invest your time, it might as well have as much potential as possible for success!","",1,"","Linc Gasking","Linc has been a serial entrepreneur for thirty years including retail, fashion, industrial, technology, entertainment and tourism.","","donation","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
27,66,"introduction","java","Get an introduction to the language of Java!<br><Br><b>about java</b><br>Java is a powerful and flexible programming language that allows you tocreate software that run pretty much anywhere (Windows, Linux, Mac,Android). In this course, I will take you through some of the basics ofcreating simple Java programs and using some of the great freetools that are available for Java developers.<br><Br>Having a little bit of programming background may help, but is notrequired. Java is a great language to learn for absolute beginners aswell as for experienced developers.","",3,"Basic understanding of programming languages is required","Jeen Broekstra","","","please select..","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
28,66,"introduction","ruby on rails","Get an introduction to Ruby on Rails","Ruby on rails.",5,"Basic computer programing knowledge is needed","Y. Thong Kuah","","","please select..","","","","","",""
29,74,"zero to hero","build an electric car!","Born to be Wild: Build a Black-and-Decker powered car or spiral locomotive. Bring yer own cordless drill for this one!","",3,NULL,"Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","Cordless drill","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
30,68,"introduction","photography: composition","A practical introduction to photographic composition: learn how to give your photographs artistic value.You'll learn the basics of artistic composition in four easy stages, focusing on photography.","This is the same material as the Adventure Wellington 'Adventure Photography' course. You'll learn the basics of artistic composition in four easy stages.",3,1,"Linc Gasking","Linc was a professional photographer in Hollywood for ten years, and has taken over half a million photographs. He is now the founder of an online photography startup.","Any digital camera - make sure there is plenty of spare battery power and space for photographs.","free","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","You'll need a device to view the color PDF provided digitally, or the ability to print it beforehand.","","",""
31,68,"introduction","photography: don&#039;t shoot!","","",3,NULL,"guillaume hammadi","","","cost","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
32,68,"introduction","photography: portraits","Ever wanted to understand how to take better photographs of people? This is your chance!","- how to use depth of field <br>- how to use lighting: different types of lights to achieve a better portrait<Br>- how to crop and compose your subject<Br>- backgrounds",3,"You need to understand how to use your camera. You need an SLR for this course.","Linc Gasking","Linc was a professional photographer in Hollywood for ten years, and has taken over half a million photographs. He is now the founder of an online photography startup.","","donation","$10","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
34,69,"introduction","a first taste of spanish cuisine: tapas","Discover how to make real tapas! (Coming soon: Raciones!)","How to make 3 or 4 of the most popular tapas dishes in Spain",1,NULL,"Leticia Murillo Esteban","Leticia has a love of Spanish cuisine which she inherited from her family and she loves sharing family recipes! Leticia has worked as a freelance translator (french / english / spanish)  for over two years. She grew up in Spain and studied at the University of Saragossa.","","cost","$15 ($10   $5 food contribution per pers","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
35,69,"introduction","how to make dumplings","Dumpling queen Vicky Ha will show you how to make some of her to-die-for dumplings!","",1,NULL,"Vicky Ha","Originally from Hong Kong, and with a degree in food science,Vicky is 'the face, talent and passion behind Wellington's latest culinary craze, dumplings from The Dumpling House. I say 'craze' because it seems like anyone who has tried these dumplings have raved about them on Twitter, Facebook, to each other...the word is spreading quickly!'","","please select..","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","","http://sugarandspice-and-allthingsnice.blogspot.co.nz/2012/05/review-dumpling-house.html"
36,70,"introduction","te reo maori","","",1,NULL,"Matiu te Huki","Matiu has been teaching the language and kapa haka for 20 years for all ages and levels","","cost","$10","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
37,70,"introduction","sign language","Learn some sign language!","",1,NULL,"Tony Bishop and Elinor Cuttiford","","","please select..","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
38,0,"introduction","spanish/espanol: the train station","Ever tried to learn a language in school? You probably spent years rote-learning ridiculous amounts of grammatical rules, and have nothing to show for it. <br><Br>That's not how we roll here at chalkle. <Br><Br>Each chalkle language lesson is built around a particular situation or location which we will go and visit in real life to do the lesson: the first one is the train station! You'll receive practical phrases right away which you can put into action immediately!","- Spanish as it relates in real life to a train station <br>- Cultural intricacies of a train station in Spain",1,"","Leticia Murillo Esteban","Leticia has worked as a freelance translator (french / english / spanish)  for over 2 years. She grew up in Spain and studied at the University of Saragossa.","","donation","$10","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
39,71,"introduction","how to be nice: humanist and buddhist principles in real life","how to be nice: humanist and buddhist principles in real life!","",1,NULL,"Peter Fernando","Peter lived and trained as a Buddhist monk in the tradition of Ajahn Chah for seven years, at Abhayagiri Monastery in the U.S.A, Birken Monastery in Canada and Bodhinyanarama Monastery in New Zealand. Having left the monk’s life, he has been teaching in Wellington since 2007, and finds a lot of joy in supporting people in the practice of awareness and awakening in an urban environment.","","please select..","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
40,71,"test flight","successful midlife crisis: swot me!","This is the first in a series: How to have a successful midlife crisis! This one is employing a SWOT analysis, commonly used in business strategic planning...on yourself!","",1,NULL,"Linc Gasking","","","free","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
41,77,"introduction","make a shelter","Lost in the bush? Build a shelter out of whatever you can.","",1,NULL,"Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
42,77,"introduction","obtaining water","Number of days a human can survive without water: 3-5. Number of days a zombie can survive without water: 28 days plus   ... do the math","You're going to need water - there's water all around...if you know where to look.",1,NULL,"Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
43,77,"introduction","how to catch and prepare a fish","Hungry? Om nom nom.","Hungry? Om nom nom.<Br>In this survival lesson at MakerSpace, you'll learn:<Br><Br>- how to use scavenged/found objects to catch a fish<Br>- the different ways to catch a fish<Br>- what type of fish you can eat <Br>- how to prepare the fish you catch <Br>- how to cook the fish e-fish-ently without waste<Br><bR><br>And at the end of the lesson, you'll get to eat the fish as well!",1,"","Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","As your local fishing supply will be unavailable (and empty?) in a Zombie apocalypse, you are requested to bring a scavenged item / found object along as a koha to the Makerspace Zombie Closet Collection as part of this chalkle.<Br><Br>Some of the items you bring may be used as materials to create the objects made in these lessons. Examples of suitable scavenged items might include an old tool, a coil of old wire, etc. Surprise us!","cost","$26 (includes fish/meal and materials)","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
44,72,"introduction","drums","You'll get a 90 minute introduction to drumming!","- how to hold and use drumsticks- what each type of drum does and what it's called- what is the difference of drumming between different genres- how to play a basic rock beat",1,NULL,"Ben Knight","Ben Knight has a punk and hardcore background, and the percussive force behind the band All Seeing Hand. <br><br>Reviewers write of Ben: 'powerful and high energy drumming gives a frantic energy to the performance, which is exhausting just to watch...one of the best live shows and most interesting music in New Zealand at the moment'.","","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
47,72,"introduction","how to start a band","","Learn how to start a band!",1,"","Ben Knight","Ben Knight has a punk and hardcore background, and the percussive force behind the band All Seeing Hand reviewed as '...one of the best live shows and most interesting music in New Zealand at the moment'.","","please select..","","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
50,74,"introduction","1.1 materials","Know what you're doing from the ground up : Materials, what to use, why and how.","",1,NULL,"Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
51,74,"introduction","1.2 cutting","Know what you're doing from the ground up : Cutting, what to do, why and how.","",1,NULL,"Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
52,74,"introduction","1.3 hole making","Know what you're doing from the ground up : Hole making: what to use, why and how.","",1,NULL,"Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
53,74,"introduction","1.4.1 hand forming","Know what you're doing from the ground up : Hand forming, what to use, why and how.","",1,NULL,"Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
54,74,"introduction","1.4.2 machine forming","Know what you're doing from the ground up : Machine forming: what to use, why and how.","",1,NULL,"Lee Bennett","After leaving the British Navy, Lee Bennett created special effects with Weta Workshop, single handedly subdivided his property, renovated a boat, became a commercial pilot, built a plane in his conservatory, and built WW1 vehicles and planes (in a proper factory this time).<br><Br>Lee Bennett is one of the founders of Wellington MakerSpace, the first floor space at 6 Vivian St they’ve outfitted provides a workshop on steroids. It is specifically provided for those looking to make one-offs, prototypes and sellable items from plastic, metal and wood – but who don’t have either their own facility nor the scope or scale to necessarily approach larger scale engineers or fabricators.","","cost","$20","Click the link on this lesson. You will be transferred to the event on Meetup where you must RSVP. A time and date will be announced once the minimum interest level has been reached. If the organized time does not work, you will be able to cancel at this time with no penalty or cost.","","","",""
